meta,hash,.2ha,processed_originals,manifest_rows,.ots,status,note
CME_REGULATORY-RUN-20251028-S01,1,1,1,1,1,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S02,2,2,2,2,2,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S03,1,1,1,1,1,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S04,3,3,3,3,3,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S05,4,4,4,4,4,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S06,5,5,5,5,5,OK,
xarchive_build_files_REGULATORY-RUN-20251028-S07,6,6,6,6,6,OK,
__GLOBALS__,22,22,22,22,22,PASS,pre_total=22
