meta,hash,.2ha,processed_originals,manifest_rows,.ots,status,note
Submission_file_dossier_REGULATORY-RUN-20251027-S01,1,1,1,1,1,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S02,17,17,17,17,17,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S03,41,41,41,41,41,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S04,42,42,42,42,42,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S05,1,1,1,1,1,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S06,2,2,2,2,2,OK,
xarchive_build_files_REGULATORY-RUN-20251027-S07,3,3,3,3,3,OK,
__GLOBALS__,107,107,107,107,107,PASS,pre_total=107
